Year,Month,ST_ABBREV,STATE_NAME,COUNTYNAME,Overdose Deaths,**NOTE: All data was collected 10/6/2024
2020,1,DE,Delaware,Kent,59,
2020,2,DE,Delaware,Kent,65,
2020,3,DE,Delaware,Kent,67,
2020,4,DE,Delaware,Kent,65,
2020,5,DE,Delaware,Kent,68,
2020,6,DE,Delaware,Kent,67,
2020,7,DE,Delaware,Kent,68,
2020,8,DE,Delaware,Kent,68,
2020,9,DE,Delaware,Kent,65,
2020,10,DE,Delaware,Kent,66,
2020,11,DE,Delaware,Kent,67,
2020,12,DE,Delaware,Kent,66,
,,,,,,
2020,9,DE,Delaware,New Castle,283,
2020,10,DE,Delaware,New Castle,279,
2020,3,DE,Delaware,New Castle,278,
2020,5,DE,Delaware,New Castle,283,
2020,1,DE,Delaware,New Castle,268,
2020,6,DE,Delaware,New Castle,287,
2020,12,DE,Delaware,New Castle,258,
2020,11,DE,Delaware,New Castle,271,
2020,4,DE,Delaware,New Castle,286,
2020,2,DE,Delaware,New Castle,267,
2020,7,DE,Delaware,New Castle,287,
2020,8,DE,Delaware,New Castle,287,
,,,,,,
2020,8,DE,Delaware,Sussex,126,
2020,12,DE,Delaware,Sussex,120,
2020,11,DE,Delaware,Sussex,126,
2020,2,DE,Delaware,Sussex,122,
2020,7,DE,Delaware,Sussex,126,
2020,5,DE,Delaware,Sussex,132,
2020,9,DE,Delaware,Sussex,127,
2020,10,DE,Delaware,Sussex,128,
2020,3,DE,Delaware,Sussex,122,
2020,6,DE,Delaware,Sussex,130,
2020,4,DE,Delaware,Sussex,125,
2020,1,DE,Delaware,Sussex,110,
